S.Aci16581III	S.Aci16581III
S.Awo1030III	S.Awo1030III
S.Axy133I	S.Axy133I
M.Axy162I	M.Axy162I
M.Axy162I	M.Dal1302I
M.Axy162I	M.Kpo13336II
M.Axy162I	M.XcaXCC1I
M.Axy162I	M.Xca85II
S.Axy162I	S.Axy162I
S.Axy255I	S.Axy255I
S.Axy10807I	S.Axy10807I
S.Bab624I	S.Bab624I
S.Bab624I	S.Bab1478I
S.Bab624I	S.Bca420I
S.Bab624I	S.Bme8223I
M.BadAI	M.BadAI
BaeI	BaeI
S.Bae232I	S.Bae232I
M.Bae232II	M.Bae232II
S.Bag12119I	S.Bag12119I
Bag18758I	Bag18758I
M1.Bag18758II	M1.Bag18758II
M2.Bag18758II	M2.Bag18758II
BalI	BalI
BalI	MscI
M.BalI	M.BalI
S.Bam79I	S.Bam79I
BamFI	BamFI
M.BamHIII	M.BamHIII
M.BamHSJ1III	M.BamHSJ1III
M.BanIII	M.BanIII
M.BanBL3I	M.BanBL3I
M.BanBL3I	M.BanLI
S.BanJ001I	S.BanJ001I
BanLI	BanLI
S.Baq387II	S.Baq387II
M.Baq12282I	M.Baq12282I
M.Baq12282I	M.Baq387I
M.Baq12282I	M.Cpo1I
M.Baq12282I	M.DfaPA1II
M.Baq12282I	M.Dso99II
M.Baq12282I	M.Eae35II
M.Baq12282I	M.EbaNIH1I
M.Baq12282I	M.Ecl72I
M.Baq12282I	M.Ecl73I
M.Baq12282I	M.EclNH77I
M.Baq12282I	M.Eho19I
M.Baq12282I	M.Eho12121I
M.Baq12282I	M.Eic12122II
M.Baq12282I	M.Eta370II
M.Baq12282I	M.Eta10396I
M.Baq12282I	M.Hal350I
M.Baq12282I	M.Kpn23I
M.Baq12282I	M.Kpn9667I
M.Baq12282I	M.Kpn10006I
M.Baq12282I	M.Mmo133I
M.Baq12282I	M.Mmo12358II
M.Baq12282I	M.Rpl9179I
M.Baq12282I	M.SfoGS2II
M.Baq12282I	M.Sli125I
M.Baq12282I	M.SmaUMH9I
M.Baq12282I	M.Ykr415I
M.Baq12282I	M.Yre11966II
M.Baq12282I	M.Aba31II
M.Baq12282I	M.Aba78I
M.Baq12282I	M.Aba858I
M.Baq12282I	M.Aba12156I
M.Baq12282I	M.AbaB8300I
M.Baq12282I	M.Aca7364II
M.Baq12282I	M.Acc65II
M.Baq12282I	M.Aju10307III
M.Baq12282I	M.AspACNIH2I
M.Baq12282I	M.AspACNIH1II
M.Baq12282I	M.PalEH1III
M.Baq12282I	M.Pda11648I
M.Baq12282I	M.Psh10360I
M.Baq12282I	M.PspHJ039II
M.Baq12282I	M.VbrII
M.Baq12282I	M.Pal6344I
M.Baq12282I	M.Pre330II
M.Baq12282I	M.Vha109III
M.Baq12282I	M.Vna16374I
M.Baq12282I	M.Vtu19109III
M.Baq12282I	M.Vpa52I
M.Baq12282I	M.Vga43942I
M.Baq12282I	M.Vsp61001II
S.Baq12282I	S.Baq12282I
S.Baq12282I	S.Baq387I
S.Bas20089I	S.Bas20089I
M.Bau1417I	M.Bau1417I
M.Bau1417I	M.AorT14I
M.Bau1417I	M.ApoF0714I
M.Bau1417I	M.AspF0496I
M.Bau1417I	M.Bag12119I
M.Bau1417I	M.Bbi13001II
M.Bau1417I	M.Cco13027II
M.Bau1417I	M.CisBK32IV
M.Bau1417I	M.Cku11138I
M.Bau1417I	M.Fsa33148I
M.Bau1417I	M.Pfr20271I
M.Bau1417I	M.PfrJS2III
M.Bau1417I	M.PfrJS7II
M.Bau1417I	M.PfrJS7III
M.Bau1417I	M.PfrJS8III
M.Bau1417I	M.PfrJS11II
M.Bau1417I	M.PfrJS12I
M.Bau1417I	M.PfrJS14III
M.Bau1417I	M.PfrJS17I
M.Bau1417I	M.PfrJS22I
M.Bau1417I	M.Ppr12967I
M.Bau1417I	M.PsaCLTW6I
M.Bau1417I	M.RheG1I
M.Bau1417I	M.SbaCM003I
M.Bau1417I	M.TacI
M.Bau1417I	M.Jde301II
M.Bau1417I	M.Aho11636I
M.Bau1417I	M.Ara36733I
M.Bau1417I	M.Lsp590I
M.Bau1417I	M.Apr89603I
M.Bau1417I	M.Dpi3264I
M.Bau1417I	M.Dpn677II
M.Bau1417I	M.Pmi11808II
M.Bau1417I	M.Sgo3165I
M.Bau1417I	M.Ssp146I
M.Bau1417I	M.SspF0704III
S.Bau1417I	S.Bau1417I
S.Bau1417II	S.Bau1417II
S.Bau1417III	S.Bau1417III
Bau1417V	Bau1417V
M.Bau1418I	M.Bau1418I
M.Bau1418I	M.Bau1417IV
M.Bau1418I	M.Bau1419I
M.Bau1418I	M.Bau1420II
M.Bau1418I	M.Bio9742I
S.BveNKG1I	S.BveNKG1I
S2.Bvu10583II	S2.Bvu10583II
S2.Bvu10583II	S2.BdoJR02II
M.BxiVV3I	M.BxiVV3I
S.Cab13497II	S.Cab13497II
Cac824I	Cac824I
M.Cac16379I	M.Cac16379I
M.CagIV	M.CagIV
M.CagV	M.CagV
M.CagVII	M.CagVII
M.CagVIII	M.CagVIII
M.CagIX	M.CagIX
M.CakI	M.CakI
M.CakI	M.Pse18267III
M.CakI	M.Cte10698II
M.CakI	M.Pta8067I
M.CakI	M.SspWT4I
S.CakI	S.CakI
Cal14237I	Cal14237I
S.Cal14237II	S.Cal14237II
S.Cal14237III	S.Cal14237III
S.Cal14237IV	S.Cal14237IV
M.CalB3I	M.CalB3I
M.CalB3I	M.Cbo1195I
M.CalB3I	M.Cbo13037I
M.CalB3I	M.Cbo67071I
M.CalB3I	M.Csp275I
M.CalB3I	M.MlaZI
S.CalB3I	S.CalB3I
CalB3II	CalB3II
M.CalB3III	M.CalB3III
S.Cam7243I	S.Cam7243I
CatHI	CatHI
M1.CatHI	M1.CatHI
M2.CatHI	M2.CatHI
M2.CatHI	M2.Ecl65II
M.Cau10061II	M.Cau10061II
S.Cau700975I	S.Cau700975I
M.Cba7I	M.Cba7I
M.Cba7I	M.BglI
M.Cba7I	M.Cfr023III
M.Cba7I	M.DdeVCDI
M.Cba7I	M.Van12159IV
M.Cba7II	M.Cba7II
M.Cba7II	M.CagVI
M.Cba7II	M.Nsp0038II
M.Cba7II	M.NspKEnV
Cba13II	Cba13II
M.Cba18I	M.Cba18I
M.Cba18I	M.Cba13I
M.Cba18I	M.FpsFPG3IV
M.Cba18I	M.MspI7V
S.Cba18I	S.Cba18I
M.Cba207I	M.Cba207I
M.Cba11212I	M.Cba11212I
S.Cba16038II	S.Cba16038II
S.Cba16038III	S.Cba16038III
CbeI	CbeI
S.Cbe13035I	S.Cbe13035I
M.Cbo29II	M.Cbo29II
M.Cbo29II	M.Cbo1051I
M.Cbo29II	M.Cbo1169II
M.Cbo29II	M.Cbo1195III
M.Cbo29II	M.Cbo1632II
M.Cbo29II	M.Cbo13037II
M.Cbo29II	M.Cbo67071III
M.Cbo29II	M.Cbo67190III
M.Cbo29II	M.CboA634I
M.Cbo29II	M.CboAf650I
M.Cbo29II	M.CboF160I
M.Cbo29II	M.Csp534II
M.Cbo29II	M.CpaAIII
S.Cbo1051II	S.Cbo1051II
S.Cbo1051II	S.Cpe8081I
S.Cbo1169I	S.Cbo1169I
S.Cbo1195II	S.Cbo1195II
M.Cbo1195IV	M.Cbo1195IV
M.Cbo1195IV	M.Cbo29III
M.Cbo1195IV	M.Cbo1169III
M.Cbo1195IV	M.Cbo13037III
M.Cbo1195IV	M.CboB742IV
M.Cbo1195IV	M.Csp275IV
Cbo1632I	Cbo1632I
S.Ecl93I	S.Ecl93I
S.Ecl0136I	S.Ecl0136I
M.Ecl164I	M.Ecl164I
M.Ecl164I	M.Fsi4947I
M.Ecl164I	M.SenA46IV
M.Ecl164I	M.Sma130I
Ecl234I	Ecl234I
Ecl234I	Cko11077IV
Ecl234I	M.Eco9086III
Ecl234I	M.Eco9010II
Ecl234I	Kpn156V
Ecl234I	Yru10476I
Ecl234I	CfrMH16VI
S.Ecl11571I	S.Ecl11571I
M.Ecl11588I	M.Ecl11588I
S.Ecl34977I	S.Ecl34977I
S.Ecl884AI	S.Ecl884AI
S.Ecl884AI	S.AhyRBAHII
S.Ecl884AI	S.Eco348I
S.Ecl884AI	S.Kox9149I
M.EclAA4I	M.EclAA4I
S.EclF77II	S.EclF77II
S.EclF77III	S.EclF77III
S.EclF77III	S.EcoNIH2II
S.EclHC4I	S.EclHC4I
S.EclNH77I	S.EclNH77I
S.EclNIH4I	S.EclNIH4I
S.EclNIH4I	S.Kpn39795II
S.EclNIH7I	S.EclNIH7I
S.EclNIH7I	S.Ahe12129I
S.EclNIH7I	S.Eco7152II
S.EclNIH7I	S.Pag407I
S.Eco08I	S.Eco08I
S.Eco13III	S.Eco13III
S.Eco13III	S.Eco9055I
M1.Eco31I	M1.Eco31I
M1.Eco31I	M2.Eco9069I
M1.Eco31I	M2.Eco12241II
Eco47IA	Eco47IA
Eco47IB	Eco47IB
Eco47II	Eco47II
S.Eco067I	S.Eco067I
S.Eco067I	S.Eco9038I
S.Eco067I	S.Eco9077I
S.Eco77I	S.Eco77I
S.Eco0081II	S.Eco0081II
S.Eco0081II	S.Eco10086I
M.Eco86I	M.Eco86I
M.Eco86I	M.Ahe12129II
M.Eco86I	M.Eco0149I
M.Eco86I	M.Eco7927III
M.Eco86I	M.Hal8105II
Eco128I	Eco128I
Eco128I	EcoRII
S.Eco137I	S.Eco137I
S.Eco137I	S.AspNIH2I
S.Eco137I	S.AspNIH3I
S.Eco137I	S.AspNIH5I
S.Eco137I	S.Bgl41cI
S.Gst42II	S.Gst42II
S.Gst45I	S.Gst45I
S.Gst45I	S.Gst10II
S.Gst45II	S.Gst45II
S.Gst45III	S.Gst45III
M.Gst45IV	M.Gst45IV
M.Gst45IV	M.Fth11526II
M.Gst45IV	M.Gth3921II
M1.Gst134II	M1.Gst134II
S.Gst134II	S.Gst134II
S.Gst134III	S.Gst134III
S.Gsu3922IV	S.Gsu3922IV
S.Gsu3922V	S.Gsu3922V
M.GsuPI	M.GsuPI
M.GsuRed1I	M.GsuRed1I
M.GsuRed1I	M.CagI
M.GsuRed1III	M.GsuRed1III
S.GsuRed1V	S.GsuRed1V
S.GsuRed1V	S.Aba78I
S.GsuRed1V	S.Vsp61001II
S.GsuRed1VII	S.GsuRed1VII
S.GteJH63I	S.GteJH63I
M.GteJH63II	M.GteJH63II
S.GteJH63II	S.GteJH63II
M.GteJH63III	M.GteJH63III
M.GteJH63III	M.Gba686I
M.GteJH63III	M.Cdi13750II
M.GteJH63III	M.Gbr10667I
M.GteJH63III	M.Gru56503I
M.Gth3570I	M.Gth3570I
M.Gth3902I	M.Gth3902I
M.Gth3902I	M.BclIII
M.Gth3902I	M.BsrFIII
M.Gth3902I	M.GicID2IV
M.Gth3902I	M.Gka426II
M.Gth3902I	M.GliN3II
M.Gth3902I	M.Gsp300III
M.Gth3902I	M.Gst10I
M.Gth3902I	M.Gst42I
M.Gth3902I	M.Gst134I
M.Gth3902I	M.GstTII
M.Gth3902I	M.Gsu3922I
M.Gth3902I	M.GthID1II
M.Gth3921I	M.Gth3921I
M.Gth11263I	M.Gth11263I
M.Gth11263I	M.Nme8554IV
M.Gth11263II	M.Gth11263II
M.Gth11263II	M.GspL21I
S.GthID1I	S.GthID1I
M.GthID1III	M.GthID1III
M.GthID1III	M.TspX514II
S.Gva296I	S.Gva296I
M.Hac12686VI	M.Hac12686VI
M.Hac12686VI	M.Hpy30X
M.Hac12686VI	M.Hpy57VIII
M.Hac12686VI	M.Hpy13345VI
M.Hac12686VI	M.HpyAs004VI
M.Hac12686VI	M.HpyC11637VI
M.Hac12686VI	M.Hpy1838CVII
M.Hac12686VI	M.HpyFXI
M.Hac12686VI	M.HpyHI
M.Hac12686VI	M.HpyH1V
M.Hac12686VI	M.HpyLIM1VII
M.Hac12686VI	M.HpyLIM3V
M.Hac12686VI	M.HpyLIM5V
M.Hac12686VI	M.HpyMT5119VII
M.Hac12686VI	M.HpyMT5124V
M.Hac12686VI	M.HpyPU006VI
M.Hac12686VI	M.HpyPU007VII
M.Hac12686VI	M.HpyPU008VII
M.Hac12686VI	M.HpySH002V
M.Hac12686IX	M.Hac12686IX
M.Hac12686IX	M.Hpy32XII
M.Hac12686IX	M.Hpy57XI
M.Hac12686IX	M.Hpy66XII
M.Hac12686IX	M.Hpy99XII
M.Hac12686IX	M.Hpy13094XI
M.Hac12686IX	M.Hpy13338IX
M.Hac12686IX	M.Hpy13345X
M.Hac12686IX	M.HpyAs003VIII
M.Hac12686IX	M.HpyC11637VIII
M.Hac12686IX	M.HpyFXII
M.Hac12686IX	M.HpyG272V
M.Hac12686IX	M.HpyHII
M.Hac12686IX	M.HpyLIM2IX
M.Hac12686IX	M.HpyLIM3VIII
M.Hac12686IX	M.HpyLIM5VIII
M.Hac12686IX	M.HpyLIM6VII
M.Hac12686IX	M.HpyLIM8VI
M.Hac12686IX	M.HpyLIM10IX
M.Hac12686IX	M.HpyMT5105IX
M.Hac12686IX	M.HpyMT5111VIII
M.Hac12686IX	M.HpyMT5114VIII
M.Hac12686IX	M.HpyMT5118V
M.Hac12686IX	M.HpyMT5119IX
M.Hac12686IX	M.HpyMT5124VIII
M.Hac12686IX	M.HpyMT5125XII
M.Hac12686IX	M.HpyMT5135VII
M.Hac12686IX	M.HpyMT5136VII
M.Hac12686IX	M.HpyNSH57I
M.Hac12686IX	M.HpyPIV
M.Hac12686IX	M.HpyPU003IX
M.Hac12686IX	M.HpyPU007X
M.Hac12686IX	M.HpyPU010XI
M.Hac12686IX	M.HpyS300VIII
M.Hac12686IX	M.HpyUM037XI
M.Hac12686XI	M.Hac12686XI
M.Hac12686XI	M.Hpy30VI
M.Hac12686XI	M.Hpy32V
M.Hac12686XI	M.Hpy57II
M.Hac12686XI	M.Hpy66VIII
M.Hac12686XI	M.Hpy298VIII
M.Hac12686XI	M.Hpy300II
M.Hac12686XI	M.Hpy12823XII
M.Hac12686XI	M.Hpy13094XIV
M.Hac12686XI	M.HpyAS001XI
M.Hac12686XI	M.HpyAs004XII
M.Hac12686XI	M.HpyAs009VII
M.Hac12686XI	M.Hpy1838CXI
M.Hac12686XI	M.HpyCH4V
M.Hac12686XI	M.HpyFVI
M.Hac12686XI	M.HpyGII
M.Hac12686XI	M.HpyG272XIII
M.Hac12686XI	M.HpyH1XV
M.Hac12686XI	M.HpyLIM1XI
M.Hac12686XI	M.HpyLIM2XIV
M.Hac12686XI	M.HpyLIM3XII
M.Hac12686XI	M.HpyLIM5XI
M.Hac12686XI	M.HpyLIM6X
M.Hac12686XI	M.HpyLIM7IX
M.Hac12686XI	M.HpyLIM8VIII
M.Hac12686XI	M.HpyLIM9VIII
M.Hac12686XI	M.HpyLIM10XIII
M.Hac12686XI	M.HpyMT5105XIII
M.Hac12686XI	M.HpyMT5135X
M.Hac12686XI	M.HpyMT5136XII
M.Hac12686XI	M.HpyPU001X
M.Hac12686XI	M.HpyPU002X
M.Hac12686XI	M.HpyPU003XIII
M.Hac12686XI	M.HpyPU004XIII
M.Hac12686XI	M.HpyPU006XIII
M.Hac12686XI	M.HpyPU008XIV
M.Hac12686XI	M.HpySH002XII
M.Hac12686XI	M.HpyUM037VIII
HaeIII	HaeIII
M.HaeIII	M.HaeIII
M.HaeIII	M.DthLII
M.HaeIII	M.FnuDI
HaeIV	HaeIV
M.HaeV	M.HaeV
M.HaeV	M.HindVII
M.HaeV	M.Btr192IV
S.Hal158I	S.Hal158I
S.Hal350I	S.Hal350I
S.Hal350II	S.Hal350II
S.Hal350II	S.SenAboIV
S.Hal350II	S.Kae363I
S.Hal8105I	S.Hal8105I
S.Hal8105I	S.Pmi12446I
S.Hal8535I	S.Hal8535I
M1.LlaDRC3V	M1.LlaDRC3V
M2.LlaDRC3V	M2.LlaDRC3V
S.LlaE01III	S.LlaE01III
S.LlaE01III	S1.Sga13767I
LlaG50I	LlaG50I
M.LlaUC06V	M.LlaUC06V
S2.LlaUC08II	S2.LlaUC08II
S.LlaUC11III	S.LlaUC11III
S.LlaUC11III	S.EfaC8176II
S.LlaUC11III	S.Lba1991III
M.Llo201I	M.Llo201I
S.Llo11477I	S.Llo11477I
S.Llo12931I	S.Llo12931I
S.LloF1157I	S.LloF1157I
M.Llu27648I	M.Llu27648I
S.Llu27648I	S.Llu27648I
S.Lma54I	S.Lma54I
Lme32I	Lme32I
Lme32I	Lmo540I
M.Lme20241I	M.Lme20241I
S1.Lme20241II	S1.Lme20241II
S.Lmi12852I	S.Lmi12852I
Lmo370I	Lmo370I
M.Lmo405I	M.Lmo405I
S.Lmo521I	S.Lmo521I
M.Lmo545I	M.Lmo545I
S.Lmo1001I	S.Lmo1001I
M.Lmo1776I	M.Lmo1776I
S.Lmo2108I	S.Lmo2108I
M.Lmo7956I	M.Lmo7956I
M.Lmo7956I	M.Seq11824II
M.Lmo7956I	M.CboF634III
M.Lmo7956I	M.Pbr921I
M.Lmo7956I	M.CspF0512II
M.Lmo7956I	M.Lum23576I
M.Lmo7956I	M.MgaS6I
M.Lmo7956I	M.PspE1522III
S.Lmo7956I	S.Lmo7956I
S1.Lmo10068I	S1.Lmo10068I
S1.Lmo10068I	S1.Lmo6907I
S1.Lmo11238II	S1.Lmo11238II
S1.Lmo11238II	S1.Lmo8100I
M.Lmo12239I	M.Lmo12239I
M.Lmo12239I	M.Lsp11990I
S.Lmo12239I	S.Lmo12239I
S.Lmo12239I	S.Lsp11990I
M.Lmo12239III	M.Lmo12239III
M.Lmo12239III	M.Lsp6406I
S.Lmo23463I	S.Lmo23463I
S2.Lmo42079I	S2.Lmo42079I
S2.Lmo42079I	S1.Lmo5415I
S2.Lmo42079I	S2.Lmo5622I
M.LmoF4565I	M.LmoF4565I
M.LmoJ2I	M.LmoJ2I
S1.LneY15I	S1.LneY15I
S2.LneY15I	S2.LneY15I
Lpa37II	Lpa37II
Lpa37II	Seq10386II
Lpa37II	Sbo46I
M.Lpa37II	M.Lpa37II
M.LpaLC277I	M.LpaLC277I
M.LpaLC277I	M.Lcr158I
M.LpaLC277I	M.Esp375I
M.LpaLC277I	M.LneY15I
S1.LpaLC277I	S1.LpaLC277I
M.Lph15I	M.Lph15I
M.Lph15I	M.Lph93II
M.Lph93I	M.Lph93I
M.Lph93I	M.Lph145I
S.Lpl116I	S.Lpl116I
M.Lpl116II	M.Lpl116II
M.PjeF0106VI	M.PjeF0106VI
S.PjeF0106VII	S.PjeF0106VII
S.PjeF0106VIII	S.PjeF0106VIII
M.Pko701I	M.Pko701I
M.Pko701I	M.Psp345II
M.Pko701I	M.GthID1I
M.Pko701I	M.BstUII
M.Pko701I	M.Fth11526I
S.Pko701I	S.Pko701I
S.Pko701II	S.Pko701II
M.Pko3146I	M.Pko3146I
M.Pko3146I	M.Psp32OWI
M.Pla5II	M.Pla5II
S.Pla5II	S.Pla5II
M.Pla5III	M.Pla5III
M.Pla5IV	M.Pla5IV
M.Pla5IV	M.GstTI
M.Pla5IV	M.Tph12270IV
M.Pla13149I	M.Pla13149I
M.Pla13149I	M.Ssu66III
S.Ple25539I	S.Ple25539I
M.Ple25539II	M.Ple25539II
PliMI	PliMI
PliMI	DrdIV
PliMI	MaqI
PliMI	TspARh3I
S.PliMII	S.PliMII
M.PliMIII	M.PliMIII
M.PliMIII	M.Ble402VI
M.PliMIII	M.LhoZ1IV
M.PliMIII	M.Msp10II
M.PliMIII	M.SliSII
S.PliMIII	S.PliMIII
S.Plu249I	S.Plu249I
S.Plu249I	S.VcaV1III
S.Plu11842I	S.Plu11842I
S.Plu11842II	S.Plu11842II
PluTI	PluTI
M.PluTI	M.PluTI
S.PluTII	S.PluTII
M.PluTIII	M.PluTIII
M.PluTIII	M.Lfe11978I
M.PluTIII	M.Eco1524I
M.Pma157II	M.Pma157II
S.Pma1013I	S.Pma1013I
M.Pma6355I	M.Pma6355I
S.Pma6355I	S.Pma6355I
S.Pma6355II	S.Pma6355II
S.Pma9107I	S.Pma9107I
S.Pma9107II	S.Pma9107II
S.Pma9302I	S.Pma9302I
S.Pma10699I	S.Pma10699I
S.Pma10699I	S.Aga11188IV
S.Pma10699I	S.Cco54106IV
S.Pma10699I	S.Cje422III
M1.Pma10699II	M1.Pma10699II
M1.Pma10699II	M1.Pae13378II
M2.Pma10699II	M2.Pma10699II
M2.Pma10699II	M2.Pae13378II
S2.Pma11632I	S2.Pma11632I
S.Pma11632II	S.Pma11632II
M.PmaGP2I	M.PmaGP2I
S.PmaLGI	S.PmaLGI
S.PmaLGI	S.Psp0601I
PmaLGII	PmaLGII
M1.PmaMED4I	M1.PmaMED4I
M2.PmaMED4I	M2.PmaMED4I
PmeI	PmeI
PmeII	PmeII
M.PmeII	M.PmeII
M.PmeII	M.AvaII
M.PmeII	M.BanLII
M.PmeII	M.Csp68KI
M.PmeII	M.SinI
M.PmeIV	M.PmeIV
S.Pme5I	S.Pme5I
Pme5II	Pme5II
Pme5II	EsaSSI
M.Pme0054II	M.Pme0054II
S.Pme0300I	S.Pme0300I
S.Pme0300II	S.Pme0300II
S.Pme0300II	S.Pje697V
S.Pme0300II	S.PjeF0106IV
S.Pme0300II	S.Pme306III
S1.Pme0300III	S1.Pme0300III
S.Seq251I	S.Seq251I
S.Seq251I	S.Scr51100I
S.Seq251II	S.Seq251II
S.Seq251III	S.Seq251III
M.Seq4676I	M.Seq4676I
S.Seq4676I	S.Seq4676I
M.Seq4676II	M.Seq4676II
S1.Seq6180I	S1.Seq6180I
S1.Seq6180I	S1.Shy12224I
M.Seq10386I	M.Seq10386I
M.Seq11436I	M.Seq11436I
M.Seq11436I	M.Seq6176I
M.Seq11436I	M.Sub4672I
Seq11824I	Seq11824I
S.Seq11824II	S.Seq11824II
S.Seq11854I	S.Seq11854I
M.Seq11854II	M.Seq11854II
S.Seq11854II	S.Seq11854II
S.Seq12414I	S.Seq12414I
S.Seq12414I	S.SneJS1I
S1.SeqBJ1I	S1.SeqBJ1I
SfaNI	SfaNI
SfcI	SfcI
M.SfcI	M.SfcI
SfeI	SfeI
SfeI	LlaBI
M.SfiL30I	M.SfiL30I
M.Sfl21III	M.Sfl21III
S.Sfl74I	S.Sfl74I
S.Sfl74I	S.Eco11111I
S.Sfl74I	S.Sbo1621I
S.Sfl74I	S.Sfl394I
S.Sfl74I	S.Sfl3193I
S.Sfl74I	S.Sfl89141I
M.Sfl13829I	M.Sfl13829I
Sfl13829III	Sfl13829III
S.Sfo411I	S.Sfo411I
S.Sfo411I	S.Cfr101I
S.Sfo411I	S.Pca67I
S.SfoGS2I	S.SfoGS2I
M.Sfr10745I	M.Sfr10745I
M.Sfr10745I	M.Sgr3E1I
S.Sfr10745I	S.Sfr10745I
M.Sfr10745II	M.Sfr10745II
S1.Sga13773I	S1.Sga13773I
SghWII	SghWII
M.SghWII	M.SghWII
S.Sgl8271I	S.Sgl8271I
M.Sgl8271II	M.Sgl8271II
